2025-06-23 11:33:12 | INFO | background_tasks:run_full_update_cycle:229 - === 开始后台任务周期 2025-06-23 11:33:12.824343 ===
2025-06-23 11:33:12 | INFO | background_tasks:run_full_update_cycle:233 - 1. 开始抓取RSS文章...
2025-06-23 11:33:12 | INFO | reader.reader:fetch_rss_articles:50 - 正在抓取RSS源: 阮一峰
2025-06-23 11:33:33 | WARNING | reader.reader:fetch_rss_articles:55 - RSS源 阮一峰 解析警告: <urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。>
2025-06-23 11:33:33 | INFO | reader.reader:fetch_rss_articles:108 - 从 阮一峰 获取到 0 篇文章
2025-06-23 11:33:33 | INFO | background_tasks:run_full_update_cycle:257 - 本次抓取到 0 篇新文章
2025-06-23 11:33:33 | INFO | background_tasks:run_full_update_cycle:260 - 2. 开始向量化文章...
2025-06-23 11:33:33 | INFO | background_tasks:vectorize_articles:52 - 开始向量化 0 篇文章
2025-06-23 11:33:33 | INFO | background_tasks:vectorize_articles:96 - 完成向量化 0 篇文章
2025-06-23 11:33:33 | INFO | background_tasks:run_full_update_cycle:264 - 3. 开始AI评分...
2025-06-23 11:33:33 | INFO | background_tasks:ai_score_articles:104 - 开始AI评分 0 篇文章
2025-06-23 11:33:33 | INFO | background_tasks:ai_score_articles:149 - 完成AI评分 0 篇文章
2025-06-23 11:33:33 | INFO | background_tasks:run_full_update_cycle:268 - 4. 开始计算推荐分数...
2025-06-23 11:33:33 | INFO | background_tasks:calculate_final_scores_and_enqueue:181 - 开始计算 0 篇文章的推荐分数
2025-06-23 11:33:33 | INFO | background_tasks:calculate_final_scores_and_enqueue:213 - 完成推荐计算，入队 0 篇文章
2025-06-23 11:33:33 | INFO | background_tasks:run_full_update_cycle:273 - 数据库统计: {'total_sources': 1, 'total_articles': 6, 'vectorized_articles': 6, 'scored_articles': 6, 'interacted_articles': 0, 'unread_feed': 6, 'has_user_profile': True}
2025-06-23 11:33:33 | INFO | background_tasks:run_full_update_cycle:275 - 本次任务完成 - 新文章: 0, 向量化: 0, 评分: 0, 入队: 0
2025-06-23 11:33:33 | INFO | background_tasks:run_full_update_cycle:282 - === 后台任务周期完成 2025-06-23 11:33:33.956655 ===
2025-06-23 11:33:45 | INFO | background_tasks:run_full_update_cycle:229 - === 开始后台任务周期 2025-06-23 11:33:45.726522 ===
2025-06-23 11:33:45 | INFO | background_tasks:run_full_update_cycle:233 - 1. 开始抓取RSS文章...
2025-06-23 11:33:45 | INFO | reader.reader:fetch_rss_articles:50 - 正在抓取RSS源: 阮一峰
2025-06-23 11:33:53 | INFO | reader.reader:fetch_rss_articles:108 - 从 阮一峰 获取到 6 篇文章
2025-06-23 11:33:53 | INFO | background_tasks:run_full_update_cycle:257 - 本次抓取到 0 篇新文章
2025-06-23 11:33:53 | INFO | background_tasks:run_full_update_cycle:260 - 2. 开始向量化文章...
2025-06-23 11:33:53 | INFO | background_tasks:vectorize_articles:52 - 开始向量化 0 篇文章
2025-06-23 11:33:53 | INFO | background_tasks:vectorize_articles:96 - 完成向量化 0 篇文章
2025-06-23 11:33:53 | INFO | background_tasks:run_full_update_cycle:264 - 3. 开始AI评分...
2025-06-23 11:33:53 | INFO | background_tasks:ai_score_articles:104 - 开始AI评分 0 篇文章
2025-06-23 11:33:53 | INFO | background_tasks:ai_score_articles:149 - 完成AI评分 0 篇文章
2025-06-23 11:33:53 | INFO | background_tasks:run_full_update_cycle:268 - 4. 开始计算推荐分数...
2025-06-23 11:33:53 | INFO | background_tasks:calculate_final_scores_and_enqueue:181 - 开始计算 0 篇文章的推荐分数
2025-06-23 11:33:53 | INFO | background_tasks:calculate_final_scores_and_enqueue:213 - 完成推荐计算，入队 0 篇文章
2025-06-23 11:33:53 | INFO | background_tasks:run_full_update_cycle:273 - 数据库统计: {'total_sources': 1, 'total_articles': 6, 'vectorized_articles': 6, 'scored_articles': 6, 'interacted_articles': 0, 'unread_feed': 6, 'has_user_profile': True}
2025-06-23 11:33:53 | INFO | background_tasks:run_full_update_cycle:275 - 本次任务完成 - 新文章: 0, 向量化: 0, 评分: 0, 入队: 0
2025-06-23 11:33:53 | INFO | background_tasks:run_full_update_cycle:282 - === 后台任务周期完成 2025-06-23 11:33:53.194155 ===
2025-06-23 11:40:31 | INFO | __main__:main:36 - 启动 PersonaFlow API 服务...
2025-06-23 11:40:31 | INFO | __main__:startup_checks:15 - 正在进行启动前检查...
2025-06-23 11:40:31 | INFO | __main__:startup_checks:26 - 数据库连接成功，统计信息: {'total_sources': 1, 'total_articles': 6, 'vectorized_articles': 6, 'scored_articles': 6, 'interacted_articles': 0, 'unread_feed': 6, 'has_user_profile': True}
2025-06-23 11:40:31 | INFO | __main__:startup_checks:31 - 启动前检查完成
2025-06-23 11:40:31 | INFO | __main__:main:43 - API 文档地址: http://0.0.0.0:8000/docs
2025-06-23 11:40:31 | INFO | __main__:main:44 - ReDoc 文档地址: http://0.0.0.0:8000/redoc
2025-06-23 11:40:34 | INFO | background_tasks:start_scheduler:303 - 后台任务调度器已启动，每 12 小时执行一次
2025-06-23 11:40:34 | INFO | background_tasks:run_full_update_cycle:229 - === 开始后台任务周期 2025-06-23 11:40:34.058171 ===
2025-06-23 11:40:34 | INFO | background_tasks:run_full_update_cycle:233 - 1. 开始抓取RSS文章...
2025-06-23 11:40:34 | INFO | reader.reader:fetch_rss_articles:50 - 正在抓取RSS源: 阮一峰
2025-06-23 11:40:41 | INFO | reader.reader:fetch_rss_articles:108 - 从 阮一峰 获取到 6 篇文章
2025-06-23 11:40:41 | INFO | background_tasks:run_full_update_cycle:257 - 本次抓取到 0 篇新文章
2025-06-23 11:40:41 | INFO | background_tasks:run_full_update_cycle:260 - 2. 开始AI评分...
2025-06-23 11:40:41 | INFO | background_tasks:ai_score_articles:104 - 开始AI评分 0 篇文章
2025-06-23 11:40:41 | INFO | background_tasks:ai_score_articles:149 - 完成AI评分 0 篇文章
2025-06-23 11:40:41 | INFO | background_tasks:run_full_update_cycle:264 - 3. 开始向量化高质量文章...
2025-06-23 11:40:41 | INFO | background_tasks:vectorize_high_quality_articles:336 - 开始向量化 0 篇高质量文章（评分≥0.2）
2025-06-23 11:40:41 | INFO | background_tasks:vectorize_high_quality_articles:380 - 完成向量化 0 篇高质量文章
2025-06-23 11:40:41 | INFO | background_tasks:run_full_update_cycle:268 - 4. 开始计算推荐分数...
2025-06-23 11:40:41 | INFO | background_tasks:calculate_final_scores_and_enqueue:181 - 开始计算 0 篇文章的推荐分数
2025-06-23 11:40:41 | INFO | background_tasks:calculate_final_scores_and_enqueue:213 - 完成推荐计算，入队 0 篇文章
2025-06-23 11:40:41 | INFO | background_tasks:run_full_update_cycle:273 - 数据库统计: {'total_sources': 1, 'total_articles': 6, 'vectorized_articles': 6, 'scored_articles': 6, 'interacted_articles': 0, 'unread_feed': 6, 'has_user_profile': True}
2025-06-23 11:40:41 | INFO | background_tasks:run_full_update_cycle:275 - 本次任务完成 - 新文章: 0, 评分: 0, 向量化: 0, 入队: 0
2025-06-23 11:40:41 | INFO | background_tasks:run_full_update_cycle:282 - === 后台任务周期完成 2025-06-23 11:40:41.552681 ===
2025-06-23 11:41:19 | INFO | background_tasks:stop_scheduler:315 - 后台任务调度器已停止
2025-06-23 11:41:42 | INFO | __main__:main:36 - 启动 PersonaFlow API 服务...
2025-06-23 11:41:42 | INFO | __main__:startup_checks:15 - 正在进行启动前检查...
2025-06-23 11:41:42 | INFO | __main__:startup_checks:26 - 数据库连接成功，统计信息: {'total_sources': 1, 'total_articles': 0, 'vectorized_articles': 0, 'scored_articles': 0, 'interacted_articles': 0, 'unread_feed': 0, 'has_user_profile': False}
2025-06-23 11:41:42 | INFO | __main__:startup_checks:31 - 启动前检查完成
2025-06-23 11:41:42 | INFO | __main__:main:43 - API 文档地址: http://0.0.0.0:8000/docs
2025-06-23 11:41:42 | INFO | __main__:main:44 - ReDoc 文档地址: http://0.0.0.0:8000/redoc
2025-06-23 11:41:44 | INFO | background_tasks:start_scheduler:303 - 后台任务调度器已启动，每 12 小时执行一次
2025-06-23 11:41:44 | INFO | background_tasks:run_full_update_cycle:229 - === 开始后台任务周期 2025-06-23 11:41:44.729652 ===
2025-06-23 11:41:44 | INFO | background_tasks:run_full_update_cycle:233 - 1. 开始抓取RSS文章...
2025-06-23 11:41:44 | INFO | reader.reader:fetch_rss_articles:50 - 正在抓取RSS源: 阮一峰
2025-06-23 11:41:51 | INFO | reader.reader:fetch_rss_articles:108 - 从 阮一峰 获取到 6 篇文章
2025-06-23 11:41:52 | INFO | background_tasks:store_articles:41 - 新文章入库: 科技爱好者周刊（第 353 期）：苹果的"液态玻璃"是为了 AR...
